GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
adminms,com.citiustech.admin.entity,User,24,34,0,0,12,12,6,9,6,9
adminms,com.citiustech.admin.entity,Password,28,6,0,0,12,2,8,1,8,1
adminms,com.citiustech.admin.entity,Employee,0,138,0,0,0,58,0,37,0,37
adminms,com.citiustech.admin.entity,UserRole,14,3,0,0,6,1,4,1,4,1
adminms,com.citiustech.admin.entity,PatientRegistration,91,6,0,0,39,2,26,1,26,1
adminms,com.citiustech.admin.config,CorsConfig,0,15,0,0,0,4,0,2,0,2
adminms,com.citiustech.admin.config,CorsConfigPassword,12,3,0,0,3,1,1,1,1,1
adminms,com.citiustech.admin.config,RandomPasswordGenerator,63,3,2,0,12,1,2,1,1,1
adminms,com.citiustech.admin.DTO,EmployeeDTO,3,0,0,0,1,0,1,0,1,0
adminms,com.citiustech.admin.service,EmployeeService,323,3,38,0,70,1,35,1,16,1
adminms,com.citiustech.admin.service,PasswordService,188,3,8,0,38,1,9,1,5,1
adminms,com.citiustech.admin.service,PatientRegistrationService,225,3,12,0,55,1,16,1,10,1
adminms,com.citiustech.admin.service,UserRoleService,39,3,0,0,8,1,5,1,5,1
adminms,com.citiustech.admin.service,UserService,202,3,8,0,47,1,10,1,6,1
adminms,com.citiustech.admin.exception,ErrorResponse,15,0,0,0,6,0,3,0,3,0
adminms,com.citiustech.admin.exception,MyRandomException,0,9,0,0,0,4,0,2,0,2
adminms,com.citiustech.admin.exception,MyExceptionHandler,20,3,0,0,3,1,1,1,1,1
adminms,com.citiustech.admin,AdminmsApplication,5,3,0,0,2,1,1,1,1,1
adminms,com.citiustech.admin.Utility,AdminConstants,3,0,0,0,1,0,1,0,1,0
adminms,com.citiustech.admin.controller,PatientRegistrationController,236,7,18,0,53,2,18,2,9,2
adminms,com.citiustech.admin.controller,PasswordController,71,7,6,0,16,2,6,2,3,2
adminms,com.citiustech.admin.controller,UserRoleController,114,7,8,0,24,2,8,2,4,2
adminms,com.citiustech.admin.controller,UserController,62,32,6,2,12,8,5,4,2,3
adminms,com.citiustech.admin.controller,EmployeeController,78,329,6,22,15,73,7,24,1,16
